age,sex,height_cm,weight_kg
5,female,109.4,18.6
5,male,110.3,18.9
6,female,115.6,20.9
6,male,116.5,21.4
7,female,121.4,23.5
7,male,122.6,24.2
8,female,127.3,26.5
8,male,128.1,27.3
9,female,133.4,30.0
9,male,133.5,30.7
10,female,140.2,34.2
10,male,139.0,34.4
11,female,146.6,39.0
11,male,145.2,38.7
12,female,151.9,43.8
12,male,152.8,44.2
13,female,154.8,47.3
13,male,160.0,49.2
14,female,156.5,50.1
14,male,165.4,54.1
15,female,157.2,51.7
15,male,168.3,58.8
16,female,157.7,52.7
16,male,169.9,60.7
17,female,157.9,53.0
17,male,170.6,62.5
